Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.336000,0.535500
0.567000,0.660000
1.041000,0.313732
2.257000,0.452432
4.727000,0.692858
7.218000,0.892520
9.718000,1.068968
14.735000,1.369985
19.765000,1.606138
24.800000,1.797009
29.840000,1.946097
34.882000,2.058956
39.924000,2.139535
44.964000,2.188110
50.000000,2.201500
55.031000,2.192911
60.057000,2.147481
65.076000,2.058135
70.087000,1.952721
75.089000,1.798109
80.084000,1.598400
85.070000,1.349555
90.049000,1.034010
95.023000,0.603989
100.000000,0.000000
